date,activityType,workouts_ct,minutes_total,distance_total,energy_total
2025-07-29,MartialArts,1,85.5120173851649,,
2025-08-04,TraditionalStrengthTraining,1,44.39207416772842,,
2025-08-04,Yoga,1,19.22204771637917,,
2025-08-05,MartialArts,1,87.97233103513717,,
2025-08-07,MartialArts,1,68.42329653501511,,
2025-08-08,TraditionalStrengthTraining,1,49.1123685836792,,
2025-08-08,Yoga,1,21.7727125843366,,
2025-08-09,Walking,1,14.95248090028763,,
2025-08-11,TraditionalStrengthTraining,1,68.78933856685957,,
2025-08-11,Yoga,1,18.54176149964333,,
2025-08-14,MartialArts,1,59.60116966764132,,
2025-08-15,TraditionalStrengthTraining,1,83.8051473836104,,
2025-08-15,Yoga,1,23.78305933276812,,
2025-08-18,TraditionalStrengthTraining,1,91.12167683243752,,
2025-08-18,Yoga,1,15.8715915163358,,
2025-08-19,MartialArts,1,87.77741988301277,,
2025-08-21,MartialArts,1,83.58901949922243,,
2025-08-23,TraditionalStrengthTraining,1,60.25991214911143,,
2025-08-23,Yoga,1,20.80607970158259,,
2025-08-25,TraditionalStrengthTraining,1,37.90674069921176,,
2025-08-25,Yoga,1,12.92401940027873,,
2025-08-26,MartialArts,1,84.43611209988595,,
